Title,Year,Journal,Authors,Link,Key_word1,Key_word2,Key_word3,Key_word4,Key_word5,Study_Type,Tags
Virtual visual effect of hospital waiting room on pain modulation in healthy subjects and patients with chronic migraine,2013,Pain Research and Treatment,"de Tommaso, Marina; Ricci, Katia; Laneve, Luigi; Savino, Nicola; Antonaci, Vincenzo; Livrea, Paolo",https://doi.org/10.1155/2013/515730,Pain,Methods Development,Patient Study,Neuroscience,,Experiment,Pain Methods Development Patient Study Neuroscience 
Reducing bedtime physiological arousal levels using immersive audio-visual respiratory bio-feedback: a pilot study in women with insomnia symptoms,2019,Journal of Behavioral Medicine,"de Zambotti, Massimiliano; Sizintsev, Mikhail; Claudatos, Stephanie; Barresi, Giacinto; Colrain, Ian M.; Baker, Fiona C.",https://doi.org/10.1007/s10865-019-00020-9,Sleep,Patient Study,,,,Experiment,Sleep Patient Study   
Virtual reality distraction decreases pain during daily dressing changes following  haemorrhoid surgery.,2019,The Journal of international medical research,"Ding, Jie; He, Yanyan; Chen, Lishan; Zhu, Bili; Cai, Qiuping; Chen, Keli; Liu, Guoyan",https://doi.org/10.1177/0300060519857862,Pain,Patient Study,,,,Randomised Clinical Trial,Pain Patient Study   
A Randomized Controlled Trial on the Use of Virtual Reality for Needle-Related  Procedures in Children and Adolescents in the Emergency Department.,2019,Games for health journal,"Dumoulin, Stéphanie; Bouchard, Stéphane; Ellis, Jacqueline; Lavoie, Kim L.; Vézina, Marie-Pier; Charbonneau, Priscilla; Tardif, Jessica; Hajjar, Alain",https://doi.org/10.1089/g4h.2018.0111,Pediatric,Pain,Patient Study,Anxiety/ Stress,,Experiment,Pediatric Pain Patient Study Anxiety/ Stress 
Virtual reality exposure before elective day care surgery to reduce anxiety and pain  in children: A randomised controlled trial.,2019,European journal of anaesthesiology,"Eijlers, Robin; Dierckx, Bram; Staals, Lonneke M.; Berghmans, Johan M.; van der Schroeff, Marc P.; Strabbing, Elske M.; Wijnen, René M. H.; Hillegers, Manon H. J.; Legerstee, Jeroen S.; Utens, Elisabeth M. W. J.",https://doi.org/10.1097/EJA.0000000000001059,Pediatric,Pain,Anxiety/ Stress,Patient Study,,Randomised Controlled Trial,Pediatric Pain Anxiety/ Stress Patient Study 
Systematic Review and Meta-analysis of Virtual Reality in Pediatrics: Effects on Pain and Anxiety,2019,Anesthesia and Analgesia,"Eijlers, Robin; Utens, Elisabeth M. W. J.; Staals, Lonneke M.; de Nijs, Pieter F. A.; Berghmans, Johan M.; Wijnen, René M. H.; Hillegers, Manon H. J.; Dierckx, Bram; Legerstee, Jeroen S.",https://doi.org/10.1213/ANE.0000000000004165,Pain,Anxiety/ Stress,Pediatric,,,Systematic Review,Pain Anxiety/ Stress Pediatric  
Effect of virtual reality versus conventional physiotherapy on upper extremity  function in children with obstetric brachial plexus injury.,2017,Journal of musculoskeletal & neuronal interactions,"El-Shamy, S.; Alsharif, R.",https://pubmed.ncbi.nlm.nih.gov/29199193/,Pediatric,Physical Therapy,,,,Experiment,Pediatric Physical Therapy   
Effects of hypnotic analgesia and virtual reality on the reduction of experimental  pain among high and low hypnotizables.,2014,The International journal of clinical and experimental hypnosis,"Enea, Violeta; Dafinoiu, Ion; Opriş, David; David, Daniel",https://doi.org/10.1080/00207144.2014.901087,Pain,,,,,Experiment,Pain    
Proximal threats promote enhanced acquisition and persistence of reactive fear-learning circuits,2020,Proceedings of the National Academy of Sciences,"Faul, Leonard; Stjepanović, Daniel; Stivers, Joshua M.; Stewart, Gregory W.; Graner, John L.; Morey, Rajendra A.; LaBar, Kevin S.",https://doi.org/10.1073/pnas.2004258117,Anxiety/ Stress,Memory,Neuroscience,,,Experiment,Anxiety/ Stress Memory Neuroscience  
Virtual Reality for Anxiety Disorders: Rethinking a Field in Expansion,2020,Advances in Experimental Medicine and Biology,"Fernández-Álvarez, Javier; Di Lernia, Daniele; Riva, Giuseppe",https://doi.org/10.1007/978-981-32-9705-0_21,Anxiety/ Stress,Methods Development,,,,Review,Anxiety/ Stress Methods Development   
Promoting Emotional Well-being in Hospitalized Children and Adolescents With Virtual  Reality: Usability and Acceptability of a Randomized Controlled Trial.,2020,"Computers, informatics, nursing : CIN","Flujas-Contreras, Juan M.; Ruiz-Castañeda, Dyanne; Gómez, Inmaculada",https://doi.org/10.1097/CIN.0000000000000586,Pediatric,Patient Study,,,,Experiment (proof-of-concept),Pediatric Patient Study   
Virtual immersive gaming to optimize recovery (VIGOR) in low back pain: A phase II  randomized controlled trial.,2018,Contemporary clinical trials,"France, Christopher R.; Thomas, James S.",https://doi.org/10.1016/j.cct.2018.05.001,Physical Therapy,Pain,Patient Study,,,Randomised Controlled Trial,Physical Therapy Pain Patient Study  
"Virtual reality in the assessment, understanding, and treatment of mental health disorders",2017,Psychological Medicine,"Freeman, D.; Reeve, S.; Robinson, A.; Ehlers, A.; Clark, D.; Spanlang, B.; Slater, M.",https://doi.org/10.1017/S003329171700040X,Anxiety/ Stress,,,,,Systematic Review,Anxiety/ Stress    
Virtual Reality Analgesia in Labor: The VRAIL Pilot Study—A Preliminary Randomized Controlled Trial Suggesting Benefit of Immersive Virtual Reality Analgesia in Unmedicated Laboring Women,2019,Anesthesia & Analgesia,"Frey, David P.; Bauer, Melissa E.; Bell, Carrie L.; Low, Lisa Kane; Hassett, Afton L.; Cassidy, Ruth B.; Boyer, Katherine D.; Sharar, Sam R.",https://doi.org/10.1213/ANE.0000000000003649,Maternity,Pain,Anxiety/ Stress,,,Randomised Controlled Trial (pilot),Maternity Pain Anxiety/ Stress  
Virtual reality distraction for pain control during periodontal scaling and root  planing procedures.,2009,Journal of the American Dental Association (1939),"Furman, Elena; Jasinevicius, T. Roma; Bissada, Nabil F.; Victoroff, Kristin Z.; Skillicorn, Robert; Buchner, Marc",https://doi.org/10.14219/jada.archive.2009.0102,Pain,Dentistry,Patient Study,,,Experiment,Pain Dentistry Patient Study  
"Multisensory Interactions in Virtual Reality: Optic Flow Reduces Vestibular Sensitivity, but Only for Congruent Planes of Motion",2020,Multisensory Research,"Gallagher, Maria; Choi, Reno; Ferrè, Elisa Raffaella",https://doi.org/10.1163/22134808-20201487,Vestibular,Methods Development,Neuroscience,,,Experiment,Vestibular Methods Development Neuroscience  
Perception and Performance on a Virtual Reality Cognitive Stimulation for Use in the Intensive Care Unit: A Non-randomized Trial in Critically Ill Patients,2019,Frontiers in Medicine,"Gerber, Stephan M.; Jeitziner, Marie-Madlen; Knobel, Samuel E. J.; Mosimann, Urs P.; Müri, René M.; Jakob, Stephan M.; Nef, Tobias",https://doi.org/10.3389/fmed.2019.00287,Patient Study,Methods Development,,,,Experiment,Patient Study Methods Development   
Effects of Virtual Reality and External Cold and Vibration on Pain in 7- to  12-Year-Old Children During Phlebotomy: A Randomized Controlled Trial.,2018,Journal of perianesthesia nursing : official journal of the American Society of  PeriAnesthesia Nurses,"Gerçeker, Gülçin Ö; Binay, Şeyda; Bilsin, Elif; Kahraman, Ayşe; Yılmaz, Hatice B.",https://doi.org/10.1016/j.jopan.2017.12.010,Pediatric,Pain,,,,Randomised Controlled Trial,Pediatric Pain   
A pilot and feasibility study of virtual reality as a distraction for children with  cancer.,2004,Journal of the American Academy of Child and Adolescent Psychiatry,"Gershon, Jonathan; Zimand, Elana; Pickering, Melissa; Rothbaum, Barbara Olasov; Hodges, Larry",https://doi.org/10.1097/01.chi.0000135621.23145.05,Pediatric,Cancer,Pain,Anxiety/ Stress,,Experiment (proof-of-concept),Pediatric Cancer Pain Anxiety/ Stress 
Effectiveness of virtual reality for pediatric pain distraction during i.v.  placement.,2006,"Cyberpsychology & behavior : the impact of the Internet, multimedia and virtual  reality on behavior and society","Gold, Jeffrey I.; Kim, Seok Hyeon; Kant, Alexis J.; Joseph, Michael H.; Rizzo, Albert Skip",https://doi.org/10.1089/cpb.2006.9.207,Pediatric,Pain,Anxiety/ Stress,,,Experiment,Pediatric Pain Anxiety/ Stress  
Is Virtual Reality Ready for Prime Time in the Medical Space? A Randomized Control  Trial of Pediatric Virtual Reality for Acute Procedural Pain Management.,2018,Journal of pediatric psychology,"Gold, Jeffrey I.; Mahrer, Nicole E.",https://doi.org/10.1093/jpepsy/jsx129,Pediatric,Pain,Anxiety/ Stress,Patient Study,,Randomised Controlled Trial,Pediatric Pain Anxiety/ Stress Patient Study 
Virtual reality in the treatment of generalized anxiety disorders,2010,Studies in Health Technology and Informatics,"Gorini, Alessandra; Pallavicini, Federica; Algeri, Davide; Repetto, Claudia; Gaggioli, Andrea; Riva, Giuseppe",https://pubmed.ncbi.nlm.nih.gov/20543266/,Anxiety/ Stress,Patient Study,Biofeedback,,,Experiment,Anxiety/ Stress Patient Study Biofeedback  
The Virtual Meditative Walk: Virtual Reality Therapy for Chronic Pain Management,2015,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,"Gromala, Diane; Tong, Xin; Choo, Amber; Karamnejad, Mehdi; Shaw, Chris D.",https://doi.org/10.1145/2702123.2702344,Pain,Biofeedback,Anxiety/ Stress,,,Experiment (proof-of-concept),Pain Biofeedback Anxiety/ Stress  
Effect of virtual reality distraction on pain among patients with hand injury  undergoing dressing change.,2015,Journal of clinical nursing,"Guo, Chunlan; Deng, Hongyan; Yang, Jian",https://doi.org/10.1111/jocn.12626,Pain,Patient Study,,,,Experiment,Pain Patient Study   
"Innovative Technology Using Virtual Reality in the Treatment of Pain: Does It Reduce Pain via Distraction, or Is There More to It?",2018,"Pain Medicine (Malden, Mass.)","Gupta, Anita; Scott, Kevin; Dukewich, Matthew",https://doi.org/10.1093/pm/pnx109,Pain,Methods Development,,,,Review,Pain Methods Development   
Interactive and passive virtual reality distraction: effects on presence and pain  intensity.,2011,Studies in health technology and informatics,"Gutierrez-Maldonado, Jose; Gutierrez-Martinez, Olga; Cabas-Hoyos, Katia","https://pubmed.ncbi.nlm.nih.gov/21685644/#:~:text=Results%20showed%20that%20most%20of,to%20the%20no%2DVR%20trial.",Pain,Methods Development,,,,Experiment,Pain Methods Development   
Control over the virtual environment influences the presence and efficacy of a  virtual reality intervention on pain.,2011,Studies in health technology and informatics,"Gutiérrez-Martínez, Olga; Gutiérrez-Maldonado, José; Loreto-Quijada, Desirée",https://pubmed.ncbi.nlm.nih.gov/21685651/,Pain,Methods Development,,,,Experiment,Pain Methods Development   
Feasibility of implementing a virtual reality program as an adjuvant tool for  peri-operative pain control; Results of a randomized controlled trial in minimally  invasive foregut surgery.,2020,Complementary therapies in medicine,"Haisley, Kelly R.; Straw, Olivia J.; Müller, Dolores T.; Antiporda, Michael A.; Zihni, Ahmed M.; Reavis, Kevin M.; Bradley, Daniel D.; Dunst, Christy M.",https://doi.org/10.1016/j.ctim.2020.102356,Pain,Patient Study,Anxiety/ Stress,,,Randomised Controlled Trial,Pain Patient Study Anxiety/ Stress  
"Virtual reality for the induction of positive emotions in the treatment of fibromyalgia: a pilot study over acceptability, satisfaction, and the effect of virtual reality on mood",2014,"Cyberpsychology, Behavior and Social Networking","Herrero, Rocio; García-Palacios, Azucena; Castilla, Diana; Molinari, Guadalupe; Botella, Cristina",https://doi.org/10.1089/cyber.2014.0052,Pain,Patient Study,Anxiety/ Stress,,,Experiment,Pain Patient Study Anxiety/ Stress  
Virtual reality as an adjunctive pain control during burn wound care in adolescent  patients.,2000,Pain,"Hoffman, H. G.; Doctor, J. N.; Patterson, D. R.; Carrougher, G. J.; Furness, T. A. 3rd",https://doi.org/10.1016/s0304-3959(99)00275-4,Pain,Pediatric,Burn Injuries,Patient Study,,Experiment,Pain Pediatric Burn Injuries Patient Study 
The effectiveness of virtual reality for dental pain control: a case study.,2001,"Cyberpsychology & behavior : the impact of the Internet, multimedia and virtual  reality on behavior and society","Hoffman, H. G.; Garcia-Palacios, A.; Patterson, D. R.; Jensen, M.; Furness, T. 3rd; Ammons, W. F. Jr",https://doi.org/10.1089/109493101750527088,Pain,Dentistry,Patient Study,,,Experiment (proof-of-concept),Pain Dentistry Patient Study  
Use of virtual reality for adjunctive treatment of adult burn pain during physical  therapy: a controlled study.,2000,The Clinical journal of pain,"Hoffman, H. G.; Patterson, D. R.; Carrougher, G. J.",https://doi.org/10.1097/00002508-200009000-00010,Pain,Burn Injuries,Physical Therapy,Patient Study,,Experiment,Pain Burn Injuries Physical Therapy Patient Study 
Effectiveness of virtual reality-based pain control with multiple treatments.,2001,The Clinical journal of pain,"Hoffman, H. G.; Patterson, D. R.; Carrougher, G. J.; Sharar, S. R.",https://doi.org/10.1097/00002508-200109000-00007,Pain,Burn Injuries,Physical Therapy,Patient Study,,Experiment,Pain Burn Injuries Physical Therapy Patient Study 
Virtual reality as an adjunctive non-pharmacologic analgesic for acute burn pain during medical procedures,2011,Annals of Behavioral Medicine: A Publication of the Society of Behavioral Medicine,"Hoffman, Hunter G.; Chambers, Gloria T.; Meyer, Walter J.; Arceneaux, Lisa L.; Russell, William J.; Seibel, Eric J.; Richards, Todd L.; Sharar, Sam R.; Patterson, David R.",https://doi.org/10.1007/s12160-010-9248-7,Pain,,,,,Review,Pain    
Virtual reality pain control during burn wound debridement in the hydrotank.,2008,The Clinical journal of pain,"Hoffman, Hunter G.; Patterson, David R.; Seibel, Eric; Soltani, Maryam; Jewett-Leahy, Laura; Sharar, Sam R.",https://doi.org/10.1097/AJP.0b013e318164d2cc,Pain,Burn Injuries,Patient Study,,,Experiment,Pain Burn Injuries Patient Study  
Modulation of thermal pain-related brain activity with virtual reality: evidence  from fMRI.,2004,Neuroreport,"Hoffman, Hunter G.; Richards, Todd L.; Coda, Barbara; Bills, Aric R.; Blough, David; Richards, Anne L.; Sharar, Sam R.",https://doi.org/10.1097/01.wnr.0000127826.73576.91,Neuroscience,Pain,,,,Experiment,Neuroscience Pain   
The illusion of presence in immersive virtual reality during an fMRI brain scan.,2003,"Cyberpsychology & behavior : the impact of the Internet, multimedia and virtual  reality on behavior and society","Hoffman, Hunter G.; Richards, Todd; Coda, Barbara; Richards, Anne; Sharar, Sam R.",https://doi.org/10.1089/109493103321640310,Pain,Burn Injuries,Neuroscience,Methods Development,,Experiment,Pain Burn Injuries Neuroscience Methods Development 
Virtual reality helmet display quality influences the magnitude of virtual reality  analgesia.,2006,The journal of pain : official journal of the American Pain Society,"Hoffman, Hunter G.; Seibel, Eric J.; Richards, Todd L.; Furness, Thomas A.; Patterson, David R.; Sharar, Sam R.",https://doi.org/10.1016/j.jpain.2006.04.006,Pain,Methods Development,,,,Experiment,Pain Methods Development   
Manipulating presence influences the magnitude of virtual reality analgesia.,2004,Pain,"Hoffman, Hunter G.; Sharar, Sam R.; Coda, Barbara; Everett, John J.; Ciol, Marcia; Richards, Todd; Patterson, David R.",https://doi.org/10.1016/j.pain.2004.06.013,Pain,Methods Development,,,,Experiment,Pain Methods Development   
"Virtual Reality Improves the Patient Experience during Wide-Awake Local Anesthesia  No Tourniquet Hand Surgery: A Single-Blind, Randomized, Prospective Study.",2019,Plastic and reconstructive surgery,"Hoxhallari, Ediana; Behr, Ian J.; Bradshaw, Jonathan S.; Morkos, Michael S.; Haan, Pam S.; Schaefer, Maureen C.; Clarkson, James H. W.",https://doi.org/10.1097/PRS.0000000000005831,Pain,Anxiety/ Stress,Patient Study,,,Experiment,Pain Anxiety/ Stress Patient Study  
The Effectiveness of a Virtual Reality-Based Tai Chi Exercise on Cognitive and Physical Function in Older Adults with Cognitive Impairment,2018,Dementia and Geriatric Cognitive Disorders,"Hsieh, Chih-Chin; Lin, Pay-Shin; Hsu, Wen-Chuin; Wang, Jong-Shyan; Huang, Yu-Chen; Lim, Ai-Yin; Hsu, Ya-Chuan",https://doi.org/10.1159/000494659,Ageing,Patient Study,,,,Experiment,Ageing Patient Study   
